<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,60,20180927,150000,201.3000000,9776920
SBER,60,20180927,160000,202.2000000,11449150
SBER,60,20180927,170000,203.3700000,12447480
SBER,60,20180927,180000,204.1000000,10749550
SBER,60,20180928,100000,202.2300000,24966130
SBER,60,20180928,110000,204.9000000,10670650
SBER,60,20180928,120000,203.1800000,8627700
SBER,60,20180928,130000,202.1000000,11676010
SBER,60,20180928,140000,201.1900000,7182000
SBER,60,20180928,150000,201.3800000,5045680
SBER,60,20180928,160000,201.7300000,9464670
SBER,60,20180928,170000,202.7000000,14321060
SBER,60,20180928,180000,203.3200000,9760050
SBER,60,20181001,100000,204.1400000,15423720
SBER,60,20181001,110000,204.2600000,5013970
SBER,60,20181001,120000,203.5100000,5339730
SBER,60,20181001,130000,204.1800000,2869630
SBER,60,20181001,140000,203.8200000,2015680
SBER,60,20181001,150000,202.2000000,4854670
SBER,60,20181001,160000,202.5900000,7073240
SBER,60,20181001,170000,203.2400000,6071820
SBER,60,20181001,180000,204.2000000,6247840
SBER,60,20181002,100000,203.8000000,17415300
SBER,60,20181002,110000,203.1600000,6396410
SBER,60,20181002,120000,201.8300000,8491940
SBER,60,20181002,130000,202.2200000,6529360
SBER,60,20181002,140000,202.4600000,3713220
SBER,60,20181002,150000,202.0800000,5159370
SBER,60,20181002,160000,201.3500000,4934630
SBER,60,20181002,170000,200.5800000,10934220
SBER,60,20181002,180000,199.5000000,15210830
SBER,60,20181003,100000,200.0800000,13453100
SBER,60,20181003,110000,200.0600000,6232990
SBER,60,20181003,120000,201.4300000,8305570
SBER,60,20181003,130000,201.4300000,5562670
SBER,60,20181003,140000,201.2700000,8516560
SBER,60,20181003,150000,199.8000000,9628040
SBER,60,20181003,160000,198.1100000,11205290
SBER,60,20181003,170000,198.0100000,9665010
SBER,60,20181003,180000,198.3000000,4027290
SBER,60,20181004,100000,196.6900000,11797340
SBER,60,20181004,110000,195.6900000,8500800
SBER,60,20181004,120000,195.9000000,3766150
SBER,60,20181004,130000,195.8500000,2699500
SBER,60,20181004,140000,194.0400000,8523740
SBER,60,20181004,150000,190.7000000,22581720
SBER,60,20181004,160000,191.0000000,10816900
SBER,60,20181004,170000,189.7900000,12305630
SBER,60,20181004,180000,189.3500000,6374360
SBER,60,20181005,100000,190.7500000,23557670
SBER,60,20181005,110000,185.7000000,19120530
SBER,60,20181005,120000,186.1800000,11771880
SBER,60,20181005,130000,187.2000000,6717260
SBER,60,20181005,140000,190.2500000,11023430
SBER,60,20181005,150000,189.1600000,10850490
SBER,60,20181005,160000,189.0500000,5582600
SBER,60,20181005,170000,188.0100000,7189810
SBER,60,20181005,180000,187.2000000,7299530
SBER,60,20181008,100000,184.4200000,17870340
SBER,60,20181008,110000,184.2700000,5146950
SBER,60,20181008,120000,185.5500000,6144440
SBER,60,20181008,130000,184.8300000,4291220
SBER,60,20181008,140000,186.2100000,7213440
SBER,60,20181008,150000,185.7000000,2853650
SBER,60,20181008,160000,186.2800000,5843830
SBER,60,20181008,170000,189.5800000,15731700
SBER,60,20181008,180000,191.8500000,17377750
SBER,60,20181009,100000,194.5700000,21489190
SBER,60,20181009,110000,195.0200000,6082620
SBER,60,20181009,120000,192.4200000,6506780
SBER,60,20181009,130000,193.2900000,7514830
SBER,60,20181009,140000,190.1800000,10126320
SBER,60,20181009,150000,190.3200000,10084220
SBER,60,20181009,160000,191.5400000,9574370
SBER,60,20181009,170000,192.3400000,9291570
SBER,60,20181009,180000,191.2500000,5326850
SBER,60,20181010,100000,190.6800000,10353880
