<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20161117,000000,338.1500000
ROSN,D,20161118,000000,337.0000000
ROSN,D,20161121,000000,340.5500000
ROSN,D,20161122,000000,341.8000000
ROSN,D,20161123,000000,347.4500000
ROSN,D,20161124,000000,346.5500000
ROSN,D,20161125,000000,341.5000000
ROSN,D,20161128,000000,336.6000000
ROSN,D,20161129,000000,336.7500000
ROSN,D,20161130,000000,340.2000000
ROSN,D,20161201,000000,338.5000000
ROSN,D,20161202,000000,340.0000000
ROSN,D,20161205,000000,351.5000000
ROSN,D,20161206,000000,352.6500000
ROSN,D,20161207,000000,356.2500000
ROSN,D,20161208,000000,375.8500000
ROSN,D,20161209,000000,370.8000000
ROSN,D,20161212,000000,388.1500000
ROSN,D,20161213,000000,397.8000000
ROSN,D,20161214,000000,403.0500000
ROSN,D,20161215,000000,400.4500000
ROSN,D,20161216,000000,410.5000000
ROSN,D,20161219,000000,402.6000000
ROSN,D,20161220,000000,400.1500000
ROSN,D,20161221,000000,399.6500000
ROSN,D,20161222,000000,391.6000000
ROSN,D,20161223,000000,382.8500000
ROSN,D,20161226,000000,388.6500000
ROSN,D,20161227,000000,398.0000000
ROSN,D,20161228,000000,398.2000000
ROSN,D,20161229,000000,398.8000000
ROSN,D,20161230,000000,402.8000000
ROSN,D,20170103,000000,419.5000000
ROSN,D,20170104,000000,406.4000000
ROSN,D,20170105,000000,399.0000000
ROSN,D,20170106,000000,392.5000000
ROSN,D,20170109,000000,394.0000000
ROSN,D,20170110,000000,404.4000000
ROSN,D,20170111,000000,397.5000000
ROSN,D,20170112,000000,390.9500000
ROSN,D,20170113,000000,388.0000000
ROSN,D,20170116,000000,392.2000000
ROSN,D,20170117,000000,391.7000000
ROSN,D,20170118,000000,387.0000000
ROSN,D,20170119,000000,380.7500000
ROSN,D,20170120,000000,387.5000000
ROSN,D,20170123,000000,390.2000000
ROSN,D,20170124,000000,388.1500000
ROSN,D,20170125,000000,383.7000000
ROSN,D,20170126,000000,389.0000000
ROSN,D,20170127,000000,402.0000000
ROSN,D,20170130,000000,399.0000000
ROSN,D,20170131,000000,400.6000000
ROSN,D,20170201,000000,401.5000000
ROSN,D,20170202,000000,397.3000000
ROSN,D,20170203,000000,397.8500000
ROSN,D,20170206,000000,394.0000000
ROSN,D,20170207,000000,389.7000000
ROSN,D,20170208,000000,378.0500000
ROSN,D,20170209,000000,379.8000000
ROSN,D,20170210,000000,377.6000000
ROSN,D,20170213,000000,379.0000000
ROSN,D,20170214,000000,369.8500000
ROSN,D,20170215,000000,360.0000000
ROSN,D,20170216,000000,362.0000000
ROSN,D,20170217,000000,354.0000000
ROSN,D,20170220,000000,349.0000000
ROSN,D,20170221,000000,354.0000000
ROSN,D,20170222,000000,347.0000000
ROSN,D,20170224,000000,343.0000000
ROSN,D,20170227,000000,331.0500000
ROSN,D,20170228,000000,331.1000000
ROSN,D,20170301,000000,341.8000000
ROSN,D,20170302,000000,336.6000000
ROSN,D,20170303,000000,336.5000000
ROSN,D,20170306,000000,332.0000000
ROSN,D,20170307,000000,329.1000000
ROSN,D,20170309,000000,318.8500000
ROSN,D,20170310,000000,315.0000000
ROSN,D,20170313,000000,318.2500000
ROSN,D,20170314,000000,315.4000000
ROSN,D,20170315,000000,314.7000000
ROSN,D,20170316,000000,313.9500000
ROSN,D,20170317,000000,314.4500000
ROSN,D,20170320,000000,311.1500000
ROSN,D,20170321,000000,316.0000000
ROSN,D,20170322,000000,320.3500000
ROSN,D,20170323,000000,317.9500000
ROSN,D,20170324,000000,315.6500000
ROSN,D,20170327,000000,309.8000000
ROSN,D,20170328,000000,314.6000000
ROSN,D,20170329,000000,322.2000000
ROSN,D,20170330,000000,328.7000000
ROSN,D,20170331,000000,323.5000000
ROSN,D,20170403,000000,328.4000000
ROSN,D,20170404,000000,331.7000000
ROSN,D,20170405,000000,338.2000000
ROSN,D,20170406,000000,337.9500000
ROSN,D,20170407,000000,335.9500000
